lic_type,standard_app_type,year,mean,median,count,count_over30days,pct_over30days,count_over60days,pct_over60days,count_over90days,pct_over90days,count_over120days,pct_over120days,count_over180days,pct_over180days,count_over1year,pct_over1year
LPN+RN,Endorsement,2020,66,42,103657,61284,0.5912191168951446,38282,0.3693141804219686,24016,0.23168719912789296,16047,0.15480864775171962,8310,0.08016824719989966,908,0.008759659260831396
LPN+RN,Endorsement,2021,74,43,106141,64309,0.6058827408824111,41256,0.38869051544643446,28626,0.2696978547403925,20153,0.18987007848051177,10677,0.10059260794603404,1596,0.015036602255490339
LPN+RN,Endorsement,Pending,156,145,32525,29796,0.9160953112990008,26558,0.8165411222136818,23383,0.718923904688701,19250,0.5918524212144505,12384,0.3807532667179093,34,0.0010453497309761723
LPN+RN,Exam,2020,90,74,131782,122116,0.9266515912643608,84904,0.6442761530406277,46503,0.35287823830265136,24152,0.18327237407233157,8805,0.06681489125980787,1679,0.012740738492358593
LPN+RN,Exam,2021,97,80,129923,120939,0.9308513504152459,89806,0.6912248023829499,52250,0.40216128014285385,26780,0.20612208769809812,9500,0.07312023275324615,2434,0.018734173318042224
LPN+RN,Exam,Pending,144,135,35111,30481,0.8681324940901711,26061,0.7422460197658853,23045,0.6563470137563726,19406,0.5527042807097491,12481,0.3554726439007718,40,0.0011392441115319985
LPN+RN,Other,2020,95,80,778,537,0.6902313624678663,450,0.5784061696658098,361,0.4640102827763496,246,0.3161953727506427,104,0.13367609254498714,9,0.011568123393316195
LPN+RN,Other,2021,50,15,1664,626,0.3762019230769231,442,0.265625,337,0.20252403846153846,238,0.14302884615384615,77,0.046274038461538464,11,0.006610576923076923
LPN+RN,Other,Pending,109,101,613,611,0.9967373572593801,500,0.8156606851549756,351,0.5725938009787929,235,0.3833605220228385,38,0.06199021207177814,0,0
LPN+RN,Unknown,2020,67,50,19583,12265,0.6263085329111985,8357,0.42674768932237145,4779,0.24403819639483226,2709,0.1383342695194812,1194,0.060971250574477866,245,0.01251085124853189
LPN+RN,Unknown,2021,68,50,15887,9638,0.6066595329514698,6787,0.42720463271857495,3478,0.21892113048404355,1964,0.12362308805941966,1032,0.06495877132246491,251,0.015799081009630515
LPN+RN,Unknown,Pending,142,139,4231,4156,0.9822736941621366,3578,0.8456629638383361,2889,0.6828173008744978,2368,0.5596785629874734,1340,0.31670999763649255,0,0
